Setor,Código,Ação,Tipo,Qtde. Teórica,Part. (%),Part. (%)Acum.
Bens Indls / Máqs e Equips,WEGE3,WEG,ON NM,1.482.105.837,3244.0,3244.0
Bens Indls / Mat Transporte,EMBR3,EMBRAER,ON NM,734.632.601,1415.0,1415.0
Bens Indls/Transporte,AZUL4,AZUL,PN N2,332.825.777,141.0,2071.0
Bens Indls/Transporte,CCRO3,CCR SA,ON NM,995.335.937,602.0,2071.0
Bens Indls/Transporte,RAIL3,RUMO S.A.,ON NM,1.218.352.541,1328.0,2071.0
Cons N Básico / Alimentos Processados,BRFS3,BRF SA,ON NM,835.221.269,884.0,3094.0
Cons N Básico / Alimentos Processados,JBSS3,JBS,ON NM,1.134.986.472,1710.0,3094.0
Cons N Básico / Alimentos Processados,MRFG3,MARFRIG,ON NM,331.799.687,193.0,3094.0
Cons N Básico / Alimentos Processados,BEEF3,MINERVA,ON NM,261.036.182,84.0,3094.0
Cons N Básico / Alimentos Processados,SMTO3,SAO MARTINHO,ON NM,142.348.116,223.0,3094.0
Cons N Cíclico / Bebidas,ABEV3,AMBEV S/A,ON ATZ,4.394.245.879,2407.0,2407.0
Cons N Cíclico / Comércio Distr.,ASAI3,ASSAI,ON NM,1.349.217.892,707.0,1042.0
Cons N Cíclico / Comércio Distr.,CRFB3,CARREFOUR BR,ON NM,533.990.587,274.0,1042.0
Cons N Cíclico / Comércio Distr.,PCAR3,P.ACUCAR-CBD,ON NM,379.400.826,61.0,1042.0
Cons N Cíclico / Pr Pessoal Limp,NTCO3,GRUPO NATURA,ON NM,849.346.756,639.0,639.0
Cons N Ciclico/Agropecuária,SLCE3,SLC AGRICOLA,ON NM,194.217.908,173.0,173.0
Consumo Cíclico / Comércio,ARZZ3,AREZZO CO,ON ED NM,62.305.891,158.0,1224.0
Consumo Cíclico / Comércio,SOMA3,GRUPO SOMA,ON NM,496.029.967,151.0,1224.0
Consumo Cíclico / Comércio,LREN3,LOJAS RENNER,ON NM,951.452.770,615.0,1224.0
Consumo Cíclico / Comércio,MGLU3,MAGAZ LUIZA,ON NM,351.757.412,237.0,1224.0
Consumo Cíclico / Comércio,PETZ3,PETZ,ON NM,314.729.428,63.0,1224.0
Consumo Cíclico / Tecid Vest Calç,ALPA4,ALPARGATAS,PN N1,166.362.038,73.0,213.0
Consumo Cíclico / Tecid Vest Calç,VIVA3,VIVARA S.A.,ON NM,125.912.025,140.0,213.0
Consumo Cíclico/Constr Civil,CYRE3,CYRELA REALT,ON NM,265.784.616,257.0,447.0
Consumo Cíclico/Constr Civil,EZTC3,EZTEC,ON NM,91.514.307,64.0,447.0
Consumo Cíclico/Constr Civil,MRVE3,MRV,ON NM,375.130.280,126.0,447.0
Consumo Cíclico/Viagens e Lazer,CVCB3,CVC BRASIL,ON NM,525.582.771,52.0,52.0
Diversos,COGN3,COGNA ON,ON NM,1.814.903.540,165.0,2436.0
Diversos,RENT3,LOCALIZA,ON NM,863.138.188,1886.0,2436.0
Diversos,VAMO3,VAMOS,ON NM,498.860.020,218.0,2436.0
Diversos,YDUQ3,YDUQS PART,ON NM,289.347.914,167.0,2436.0
